"","IntervalStart","Temperature"
"1","1/1/2011 0:00",37.6
"2","1/1/2011 1:00",37.7
"3","1/1/2011 2:00",37.5
"4","1/1/2011 3:00",36.2
"5","1/1/2011 4:00",38
"6","1/1/2011 5:00",38.8
"7","1/1/2011 6:00",40.4
"8","1/1/2011 7:00",41.6
"9","1/1/2011 8:00",44.2
"10","1/1/2011 9:00",50.2
"11","1/1/2011 10:00",63
"12","1/1/2011 11:00",65.7
"13","1/1/2011 12:00",68.2
"14","1/1/2011 13:00",66.8
"15","1/1/2011 14:00",69
"16","1/1/2011 15:00",66.7
"17","1/1/2011 16:00",64.9
"18","1/1/2011 17:00",66.1
"19","1/1/2011 18:00",62.8
"20","1/1/2011 19:00",61.5
"21","1/1/2011 20:00",60.1
"22","1/1/2011 21:00",59
"23","1/1/2011 22:00",59.6
"24","1/1/2011 23:00",58.5
"25","1/2/2011 0:00",58.6
"26","1/2/2011 1:00",59.1
"27","1/2/2011 2:00",59.1
"28","1/2/2011 3:00",60.2
"29","1/2/2011 4:00",57.1
"30","1/2/2011 5:00",59.3
"31","1/2/2011 6:00",60.4
"32","1/2/2011 7:00",60.3
"33","1/2/2011 8:00",60.4
"34","1/2/2011 9:00",61.6
"35","1/2/2011 10:00",66.7
"36","1/2/2011 11:00",68.7
"37","1/2/2011 12:00",70.1
"38","1/2/2011 13:00",68
"39","1/2/2011 14:00",67.1
"40","1/2/2011 15:00",62.3
"41","1/2/2011 16:00",61
"42","1/2/2011 17:00",63.3
"43","1/2/2011 18:00",61.7
"44","1/2/2011 19:00",60.1
"45","1/2/2011 20:00",58.1
"46","1/2/2011 21:00",53
"47","1/2/2011 22:00",52.4
"48","1/2/2011 23:00",50.3
"49","1/3/2011 0:00",47.3
"50","1/3/2011 1:00",45.4
"51","1/3/2011 2:00",41.5
"52","1/3/2011 3:00",39.3
"53","1/3/2011 4:00",37.9
"54","1/3/2011 5:00",35.3
"55","1/3/2011 6:00",35.2
"56","1/3/2011 7:00",33.9
"57","1/3/2011 8:00",34.7
"58","1/3/2011 9:00",37.7
"59","1/3/2011 10:00",41.8
"60","1/3/2011 11:00",42.4
"61","1/3/2011 12:00",45
"62","1/3/2011 13:00",47
"63","1/3/2011 14:00",47.6
"64","1/3/2011 15:00",47.7
"65","1/3/2011 16:00",45.3
"66","1/3/2011 17:00",43
"67","1/3/2011 18:00",37.3
"68","1/3/2011 19:00",34.9
"69","1/3/2011 20:00",33.8
"70","1/3/2011 21:00",30.4
"71","1/3/2011 22:00",29.7
"72","1/3/2011 23:00",29
"73","1/4/2011 0:00",29.1
"74","1/4/2011 1:00",26.5
"75","1/4/2011 2:00",26.7
